week_ending_date,demographic,vaccination_coverage_status,pregnancy_status_at_vaccination,estimate,denominator,race_order,figure_id,preg_vac_order
2022-07-02T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101364,1,2,NULL
2022-07-09T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101381,1,2,NULL
2022-07-16T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101607,1,2,NULL
2022-07-23T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101548,1,2,NULL
2022-07-30T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.7,101475,1,2,NULL
2022-08-06T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,101515,1,2,NULL
2022-08-13T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,101408,1,2,NULL
2022-08-20T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,101419,1,2,NULL
2022-08-27T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,101347,1,2,NULL
2022-09-03T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,101149,1,2,NULL
2022-09-10T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,100842,1,2,NULL
2022-09-17T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,100832,1,2,NULL
2022-09-24T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,100885,1,2,NULL
2022-10-01T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,100903,1,2,NULL
2022-10-08T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,101037,1,2,NULL
2022-10-15T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,101436,1,2,NULL
2022-10-22T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,101932,1,2,NULL
2022-10-29T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,102400,1,2,NULL
2022-11-05T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,102759,1,2,NULL
2022-11-12T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,102937,1,2,NULL
2022-11-19T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,103142,1,2,NULL
2022-11-26T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,102794,1,2,NULL
2022-12-03T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,102932,1,2,NULL
2022-12-10T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,102461,1,2,NULL
2022-12-17T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,102445,1,2,NULL
2022-12-24T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,102294,1,2,NULL
2022-12-31T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,102051,1,2,NULL
2023-01-07T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,102268,1,2,NULL
2023-01-14T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,102234,1,2,NULL
2023-01-21T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,102047,1,2,NULL
2023-01-28T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,101871,1,2,NULL
2023-02-04T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,101644,1,2,NULL
2023-02-11T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,101282,1,2,NULL
2023-02-18T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.4,100858,1,2,NULL
2023-02-25T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,100257,1,2,NULL
2023-03-04T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,99665,1,2,NULL
2023-03-11T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,98855,1,2,NULL
2023-03-18T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.5,97960,1,2,NULL
2023-03-25T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,96831,1,2,NULL
2023-04-01T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,95338,1,2,NULL
2023-04-08T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,93718,1,2,NULL
2023-04-15T00:00:00.000,All Races/Ethnicity,Fully Vaccinated,Any,71.6,91606,1,2,NULL
2021-11-13T00:00:00.000,"Black, NH",Fully Vaccinated,Any,47.2,7531,3,2,NULL
2021-11-20T00:00:00.000,"Black, NH",Fully Vaccinated,Any,48,7518,3,2,NULL
2021-11-27T00:00:00.000,"Black, NH",Fully Vaccinated,Any,49,7558,3,2,NULL
2021-12-04T00:00:00.000,"Black, NH",Fully Vaccinated,Any,49.9,7603,3,2,NULL
2021-12-11T00:00:00.000,"Black, NH",Fully Vaccinated,Any,50.4,7565,3,2,NULL
2021-12-18T00:00:00.000,"Black, NH",Fully Vaccinated,Any,51.2,7519,3,2,NULL
2021-12-25T00:00:00.000,"Black, NH",Fully Vaccinated,Any,51.7,7475,3,2,NULL
2022-01-01T00:00:00.000,"Black, NH",Fully Vaccinated,Any,52.5,7476,3,2,NULL
2022-01-08T00:00:00.000,"Black, NH",Fully Vaccinated,Any,53.2,7508,3,2,NULL
2022-01-15T00:00:00.000,"Black, NH",Fully Vaccinated,Any,53.8,7508,3,2,NULL
2022-01-22T00:00:00.000,"Black, NH",Fully Vaccinated,Any,54.3,7453,3,2,NULL
2022-01-29T00:00:00.000,"Black, NH",Fully Vaccinated,Any,54.8,7472,3,2,NULL
2022-02-05T00:00:00.000,"Black, NH",Fully Vaccinated,Any,55.4,7478,3,2,NULL
2022-02-12T00:00:00.000,"Black, NH",Fully Vaccinated,Any,56,7479,3,2,NULL
2022-02-19T00:00:00.000,"Black, NH",Fully Vaccinated,Any,56.2,7483,3,2,NULL
2022-02-26T00:00:00.000,"Black, NH",Fully Vaccinated,Any,56.8,7502,3,2,NULL
2022-03-05T00:00:00.000,"Black, NH",Fully Vaccinated,Any,57,7492,3,2,NULL
2022-03-12T00:00:00.000,"Black, NH",Fully Vaccinated,Any,57.2,7501,3,2,NULL
2022-03-19T00:00:00.000,"Black, NH",Fully Vaccinated,Any,57.6,7496,3,2,NULL
2022-03-26T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.1,7514,3,2,NULL
2022-04-02T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.4,7472,3,2,NULL
2022-04-09T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.6,7434,3,2,NULL
2022-04-16T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.7,7423,3,2,NULL
2022-04-23T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.6,7432,3,2,NULL
2022-04-30T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.6,7454,3,2,NULL
2022-05-07T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.6,7486,3,2,NULL
2022-05-14T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.6,7478,3,2,NULL
2022-05-21T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.7,7474,3,2,NULL
2022-05-28T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.9,7481,3,2,NULL
2022-06-04T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.9,7472,3,2,NULL
2022-06-11T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.8,7483,3,2,NULL
2022-06-18T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.6,7477,3,2,NULL
2022-06-25T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.6,7479,3,2,NULL
2022-07-02T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.5,7464,3,2,NULL
2022-07-09T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.5,7467,3,2,NULL
2022-07-16T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.5,7511,3,2,NULL
2022-07-23T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.3,7471,3,2,NULL
2022-07-30T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.6,7452,3,2,NULL
2022-08-06T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.4,7432,3,2,NULL
2022-08-13T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.4,7392,3,2,NULL
2022-08-20T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.2,7401,3,2,NULL
2022-08-27T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.1,7398,3,2,NULL
2022-09-03T00:00:00.000,"Black, NH",Fully Vaccinated,Any,57.9,7390,3,2,NULL
2022-09-10T00:00:00.000,"Black, NH",Fully Vaccinated,Any,57.8,7407,3,2,NULL
2022-09-17T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58,7410,3,2,NULL
2022-09-24T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58,7425,3,2,NULL
2022-10-01T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58,7444,3,2,NULL
2022-10-08T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.1,7467,3,2,NULL
2022-10-15T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.2,7527,3,2,NULL
2022-10-22T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.2,7544,3,2,NULL
2022-10-29T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.5,7561,3,2,NULL
2022-11-05T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59,7584,3,2,NULL
2022-11-12T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59,7633,3,2,NULL
2022-11-19T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.3,7643,3,2,NULL
2022-11-26T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.3,7601,3,2,NULL
2022-12-03T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.1,7616,3,2,NULL
2022-12-10T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.3,7573,3,2,NULL
2022-12-17T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59,7588,3,2,NULL
2022-12-24T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.9,7561,3,2,NULL
2022-12-31T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59,7503,3,2,NULL
2023-01-07T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.9,7533,3,2,NULL
2023-01-14T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.8,7531,3,2,NULL
2023-01-21T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.7,7510,3,2,NULL
2023-01-28T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.6,7501,3,2,NULL
2023-04-08T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.8,6750,3,2,NULL
2023-04-15T00:00:00.000,"Black, NH",Fully Vaccinated,Any,58.8,6573,3,2,NULL
2023-04-22T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59,6385,3,2,NULL
2023-04-29T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.1,6179,3,2,NULL
2023-05-06T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.2,5932,3,2,NULL
2023-05-13T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.2,5682,3,2,NULL
2023-05-20T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.3,5439,3,2,NULL
2023-05-27T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.2,5187,3,2,NULL
2023-06-03T00:00:00.000,"Black, NH",Fully Vaccinated,Any,59.2,4935,3,2,NULL
2020-12-19T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,0,34864,4,2,NULL
2020-12-26T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,0,35095,4,2,NULL
2021-01-02T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,0,35320,4,2,NULL
2021-01-09T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,0.1,35486,4,2,NULL
2021-01-16T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,0.3,35628,4,2,NULL
2021-01-23T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,0.6,35658,4,2,NULL
2021-01-30T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,1,35813,4,2,NULL
2021-02-06T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,1.6,35965,4,2,NULL
2021-02-13T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,2.5,36030,4,2,NULL
2021-02-20T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,3.3,36108,4,2,NULL
2021-02-27T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,3.9,36162,4,2,NULL
2021-03-06T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,4.5,36291,4,2,NULL
2021-03-13T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,5.2,36372,4,2,NULL
2021-03-20T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,6.5,36464,4,2,NULL
2021-03-27T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,8.1,36513,4,2,NULL
2021-04-03T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,9.9,36542,4,2,NULL
2021-04-10T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,12.1,36691,4,2,NULL
2021-04-17T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,14.5,36804,4,2,NULL
2021-04-24T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,17.2,36830,4,2,NULL
2021-05-01T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,19.7,36830,4,2,NULL
2021-05-08T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,22.1,36846,4,2,NULL
2021-05-15T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,24.5,36877,4,2,NULL
2021-05-22T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,26.6,36893,4,2,NULL
2021-05-29T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,28.4,36919,4,2,NULL
2021-06-05T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,30,36864,4,2,NULL
2021-06-12T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,31.6,36939,4,2,NULL
2021-06-19T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,33,37028,4,2,NULL
2021-06-26T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,34.3,37001,4,2,NULL
2021-07-03T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,35.4,36890,4,2,NULL
2021-07-10T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,36.6,36880,4,2,NULL
2021-07-17T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,37.6,36853,4,2,NULL
2021-07-24T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,38.8,36820,4,2,NULL
2021-07-31T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,39.7,36835,4,2,NULL
2021-08-07T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,40.9,36787,4,2,NULL
2021-08-14T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,42.2,36692,4,2,NULL
2021-08-21T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,43.6,36630,4,2,NULL
2021-08-28T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,45.2,36495,4,2,NULL
2021-09-04T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,46.9,36355,4,2,NULL
2021-09-11T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,48.9,36272,4,2,NULL
2021-09-18T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,51.3,36171,4,2,NULL
2021-09-25T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,53.4,36083,4,2,NULL
2021-10-02T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,55.2,36007,4,2,NULL
2021-10-09T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,56.6,35948,4,2,NULL
2021-10-16T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,57.9,35901,4,2,NULL
2021-10-23T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,59.2,35958,4,2,NULL
2021-10-30T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,60.3,35982,4,2,NULL
2021-11-06T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,61.3,36117,4,2,NULL
2021-11-13T00:00:00.000,Hispanic/Latino,Fully Vaccinated,Any,62,36198,4,2,NULL
